params,rank_by_CV_mean_test_rmse,CV_mean_train_rmse,CV_mean_test_rmse,mean_train_rmse,mean_test_rmse,Train Years,Validate Year,model
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",823,133009.39469513673,152323.0141102258,134010.8263178093,146124.1992000011,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.5}",824,134260.760011576,152431.2722373546,135450.55353567834,145544.16686785634,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",825,134073.8499746628,152446.20030189422,134397.43788346899,146488.21908398252,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",826,132266.65968677978,152686.38415999798,134589.30490356928,147454.35832349985,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",827,131201.09274596997,152725.2673896237,134985.49156669772,145767.64208067316,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",828,135538.54833117055,152860.59119869812,136128.17709324238,147736.36955174897,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 0.5}",829,135486.9643872538,152903.0191050308,134597.9366423295,144624.26685442557,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",830,136531.61168960988,152961.46722380264,136657.62001606225,149337.0542682671,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",831,136607.75596110852,153043.13119092563,138259.0722867006,149896.53285345755,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",832,136451.5419399049,153112.1638864164,138271.63427615573,150024.0539813549,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",833,138028.84710898728,153188.03527011044,137387.2789554058,148905.94556694487,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",834,137639.58708645683,153392.99749171227,137185.73229614695,149232.8664334616,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",835,137205.20922554025,153440.72410162346,138105.62244921504,149600.49026878996,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",836,137390.26277088784,153621.51599289983,141868.12192450953,152913.96093090693,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",837,136668.16878006753,153622.96634355292,133814.14808012935,146822.14591354816,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",838,137622.60837296696,153783.23212082434,137315.21360024431,149096.9255493257,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 0.5}",839,135336.2936004988,153820.65794761982,134289.88212266107,144357.44772821647,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",840,136081.62405795534,154034.661402784,134845.45735932706,147229.96791478657,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",841,137693.2837572499,154142.81837057884,137140.38307537814,148734.0965177242,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",842,136508.45307167666,154241.3695653542,140128.5990419127,151653.82343847147,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 10, 'subsample': 0.5}",843,136062.3642170142,154578.0223845901,137818.49311183844,148864.49482079427,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",844,133579.84976351995,154828.06798234966,134885.3618509455,145552.04165491913,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 10, 'subsample': 0.5}",845,135559.2160957586,154828.15652595984,138292.72340139543,149187.8253267374,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.75}",846,138151.8176382019,154876.58358395426,140095.14044007738,153006.157154286,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 10, 'subsample': 0.5}",847,137112.12276110807,154941.37811466493,138661.54514230267,149366.7797543274,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 10, 'subsample': 0.5}",848,136047.2279075734,154997.41026908337,137824.0097748903,148882.1999644756,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.75}",849,138498.564878327,155052.61370269087,139635.54797972649,152449.35209445792,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 0.75}",850,141300.46821011088,155068.66345495055,141431.87031992202,154862.20025189442,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",851,135240.2952161867,155118.8477182905,137698.66330228507,148964.25022454845,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 0.75}",852,137773.23791374092,155182.5440748269,139631.81074830165,152222.6008385971,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.75}",853,138334.81239799975,155209.91687454493,140188.53960563726,153064.321734973,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.75}",854,139365.74157204563,155264.75538784722,140208.73339282948,153179.4565370842,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 0.75}",855,140611.1260262214,155268.8283643588,144868.7572310452,158070.38857331962,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 0.75}",856,137961.1028989815,155283.6578743153,139211.0345824098,152137.33974620802,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 0.75}",857,139221.535945217,155291.78678480393,140370.80653770978,153148.12692837886,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",858,139966.51626583067,155321.2435299666,140826.13172413054,152477.54412858604,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.75}",859,136991.66475248372,155337.12338192904,138792.0899181334,152186.88209774622,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 0.75}",860,139480.6645449511,155356.31860185304,140345.24245635504,153012.30695045527,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 0.75}",861,138154.95668335838,155407.63689717397,139592.1235605972,152376.02309164705,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 10, 'subsample': 1.0}",862,136905.74861079227,155419.71453906197,138291.64488061008,148011.16613853892,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 10, 'subsample': 1.0}",863,136908.6621520739,155420.18369295355,138291.64488061008,148011.16613853892,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.75}",864,139505.49500763754,155424.35592736438,141066.21959980676,154155.80094678965,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 0.75}",865,138002.5461764621,155463.64540331077,139668.00321829008,152634.32856700095,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 0.75}",866,138016.2672848676,155493.19472893255,139878.45410530595,152856.57300105205,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.75}",867,139538.6689182626,155523.48023684256,140432.3382905049,153188.85467065775,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.75}",868,137508.6965538188,155529.7725442571,139691.16294213381,152037.6758570724,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 0.75}",869,137201.76940882232,155575.57604134,138669.22438555298,151660.67552582457,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 10, 'subsample': 0.5}",870,136921.16691308664,155586.2624679321,138486.79270735595,148923.9125637723,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.75}",871,137486.37230861952,155612.91453529565,139323.22870931576,152111.2708710405,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 0.75}",872,139423.59723654756,155613.22827916555,140928.25514891525,153281.70212436316,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 0.75}",873,139211.77676640087,155630.00281448584,140862.52666382398,153750.69871752145,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 0.75}",874,137844.84125863132,155630.95542220195,139534.1868020414,152262.56475262746,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.75}",875,137500.9626968676,155646.42181454584,139254.6842120118,152028.88005859143,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 0.75}",876,140888.9816478795,155648.87309207683,141353.0516974378,153187.29596711602,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 0.75}",877,138741.30513509232,155651.61334584712,140403.13440186053,153363.2210882774,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 0.75}",878,137146.9406164681,155655.1199608368,139051.83299166276,151992.11538676143,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 10, 'subsample': 1.0}",879,137369.292317174,155672.99445964894,138787.2640532851,148321.9167836211,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 0.75}",880,138341.480578294,155682.06428748684,140511.54305421948,153209.5553267121,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",881,138722.96566344483,155686.51875503847,139788.7036358529,152433.13514820434,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",881,138722.9656634448,155686.51875503847,139788.7036358529,152433.13514820434,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",881,138722.96566344483,155686.51875503847,139788.7036358529,152433.13514820434,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",881,138722.9656634448,155686.51875503847,139788.7036358529,152433.13514820437,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",881,138722.9656634448,155686.51875503847,139788.7036358529,152433.13514820434,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",881,138722.9656634448,155686.51875503847,139788.7036358529,152433.13514820434,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",881,138722.9656634448,155686.51875503847,139788.70363585293,152433.13514820434,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",881,138722.9656634448,155686.51875503847,139788.7036358529,152433.13514820434,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",881,138722.96566344483,155686.51875503847,139788.7036358529,152433.13514820434,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 0.75}",890,138740.97850660028,155696.57612893265,140350.78487352384,153280.0712513689,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 0.75}",891,137504.1379736975,155707.42485560363,139292.44229565808,152035.72986614963,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 0.75}",892,137501.09744541618,155714.24040275335,139364.85395335522,152112.93350315822,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.75}",893,137560.53269740715,155730.71344334897,139403.86500336375,152126.3637693332,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 0.75}",894,138360.00832887646,155731.69286439675,140030.66566564518,152799.89378854132,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 0.75}",895,138763.8416175785,155736.43583604862,140348.70569791435,153318.99626131158,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 0.75}",896,137519.41989258784,155739.43047725997,139325.62078117565,152169.96725594005,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 10, 'subsample': 0.5}",897,136811.01172811203,155741.5105380029,138479.99969205091,148987.1406164103,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 0.75}",898,137879.0202238156,155742.54886319462,139454.37198724228,152385.7383834366,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 0.75}",899,138734.43214485253,155748.9815573208,140338.54234876522,153381.71473368397,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.75}",900,137648.42635261695,155775.8070184665,139501.33861135726,152325.60756111427,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 0.75}",901,137987.02964326003,155786.19392050122,139936.21660266744,152680.2686318807,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.75}",902,138752.84826891823,155790.01884551192,140254.39877374782,153271.8366946982,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 0.75}",903,136931.02130543103,155807.11480534344,138820.00893559706,151802.06303515538,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 0.75}",904,138288.32798764398,155816.5924091386,140040.65477505545,152797.04156260975,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.75}",905,138766.57848813664,155818.0261141277,140331.75385537057,153317.76334024718,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 0.75}",906,137543.41177002696,155821.9218294968,139252.24342379923,152109.1757677966,"[2016, 2017]",[2018],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 0.75}",907,138733.3749395199,155834.55255576604,140373.77932144143,153345.7731488451,"[2016, 2017]",[2018],Boosting
